hid,doc_id,ops_inspection_regularity,ops_unlicensed_control_notes,ops_committee_activity_notes,remarks,inspection_freq,unlicensed_control_type,committee_supervision,extracted_year,extracted_patient_count
HID0201,MD1876,,,,"Avg. registered women 1886: 759 (vs 876 in 1885); ratio 819.39 per mille (vs 873.00). Large hospital, but registers decreased as Cantonment Magistrate struck off names (marriage, departure, etc.)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L9-L20„Äë„Äê144:1‚Ä†Madras 1-merged copy.pdf‚Ä†L26-L29„Äë.",,,,1886,
HID0202,MD1876,,,,Avg. registered women 1886: 103 (vs 91 in 1885); ratio 500.16 per mille (vs 530.61)„Äê144:0‚Ä†Madras 1-merged copy.pdf‚Ä†L10-L21„Äë.,,,,1886,
HID0203,MD1876,,,,,,,,,
HID0204,MD1876,,,,,,,,,
HID0205,MD1876,,,,,,,,,
HID0206,MD1876,,,,,,,,,
HID0207,MD1876,,,,,,,,,
HID0208,MD1876,,,,Avg. registered women: 70.17 (vs 82.58 in 1886). First class hospital. Decline from 1886. Inspections weekly but attendance very irregular; clandestine prostitution persisted.,,,,1886,
HID0209,MD1876,,,,Avg. registered women: 105.50 (vs 75.69). Second class hospital. Increase because hospital was only open part of 1886. Inspections weekly but attendance very irregular.,,,,1886,
HID0210,MD1876,,,,Avg. registered women: 118.13 (vs 124.77). First class hospital. Slight decrease in registrations compared to 1886.,,,,1886,
HID0211,MD1876,,,,Avg. registered women: 32.73 (vs 15.46). Second class hospital. Increase explained by hospital being open full year in 1887; was only partially open in 1886.,,,,1887,
HID0212,MD1876,,,,Avg. registered women: 48.14 (vs 49.12). First class hospital. Slight decline from 1886. Inspections weekly; attendance fairly regular.,,,,1886,
HID0213,MD1876,,,,"Avg. registered women: 33.00 (vs 28.09). Second class hospital. Increase compared to 1886, due to full-year operation.",,,,1886,
HID0214,MD1876,,,,"Avg. registered women: 257.16 (vs 292.06). First class hospital. Decline due to Cantonment Magistrate striking names (marriage, departure). Inspections weekly, attendance improved but still irregular.",,,,,
HID0215,MD1876,,,,"Avg. registered women: 29.91 (vs 31.95). Second class hospital. Slight decline in average registrations. Inspections weekly, generally regular.",,,,,
HID0216,MD1876,,,,Avg. registered women: N/A. No explicit 1887 details visible in extract; left blank.,,,,1887,
HID0217,MD1876,,,,No explicit 1887 details visible in extract.,,,,1887,
HID0218,MD1876,,,,No explicit 1887 details visible in extract.,,,,1887,
HID0219,MD1876,,,,No explicit 1887 details visible in extract.,,,,1887,
HID0220,MD1876,,,,No explicit 1887 details visible in extract.,,,,1887,
HID0221,MD1876,,,,Avg. registered women: 43.63 (vs 70.17 in 1887). First class hospital. Decrease of 38.5%. Inspections weekly but attendance fell.,,,,1887,
HID0222,MD1876,,,,Avg. registered women: 64.46 (vs 105.50). Second class hospital. Decrease of 39%.,,,,,
HID0223,MD1876,,,,"Avg. registered women: 70.69 (vs 118.13). First class hospital. Decrease of 40.7%. Despite this, inspection ratios increased, highest ever recorded, due to voluntary attendance after abolition of compulsory rules.",,,,,
HID0224,MD1876,,,,Avg. registered women: 8.31 (vs 32.73). Second class hospital. Sharpest decrease (75%). Lock hospital rules suspended from 1st April 1888.,,,,1888,
HID0225,MD1876,,,,Avg. registered women: 34.71 (vs 48.14). First class hospital. Decrease of 29.1%.,,,,,
HID0226,MD1876,,,,Avg. registered women: 18.58 (vs 33.00). Second class hospital. Decrease of 45.4%.,,,,,
HID0227,MD1876,,,,Avg. registered women: 184.69 (vs 257.16). First class hospital. Decrease of 28.4%. Cantonment Magistrate continued to strike names from register.,,,,,
HID0228,MD1876,,,,Avg. registered women: 20.34 (vs 29.91). Second class hospital. Decrease of 31%.,,,,,
HID0229,MD1876,,,,Avg. registered women: N/A. No explicit 1888 detail in extract; left blank.,,,,1888,
HID0230,MD1876,,,,No explicit 1888 details visible in extract.,,,,1888,
HID0231,MD1876,,,,No explicit 1888 details visible in extract.,,,,1888,
HID0232,MD1876,,,,No explicit 1888 details visible in extract.,,,,1888,
HID0233,MD1876,,,,No explicit 1888 details visible in extract.,,,,1888,
HID0234,MD1876,,,,First class hospital. Registered women declined further; inspections weekly but attendance irregular.,,,,,
HID0235,MD1876,,,,Second class hospital. Sharp drop in numbers from 1888; attendance irregular.,,,,1888,
HID0236,MD1876,,,,First class hospital. Registrations decreased; inspections largely voluntary but continued.,,,,,
HID0237,MD1876,,,,Second class hospital. Rules suspended from 1888; hospital virtually collapsed.,,,,1888,
HID0238,MD1876,,,,First class hospital. Declining registrations; compliance weak.,,,,,
HID0239,MD1876,,,,Second class hospital. Registrations declined; attendance irregular.,,,,,
HID0240,MD1876,,,,First class hospital. Still the largest but steep decline as women were struck off registers.,,,,,
HID0241,MD1876,,,,Second class hospital. Continued fall in registered numbers.,,,,,
HID0242,MD1876,,,,,,,,,
HID0243,MD1876,,,,,,,,,
HID0244,MD1876,,,,,,,,,
HID0245,MD1876,,,,,,,,,
HID0246,MD1876,,,,,,,,,
HID0247,BB1886,Weekly returns furnished,,,,weekly,,,,
HID0248,BB1886,Generally regular; 8 irregular cases,,,,irregular,,,,
HID0249,BB1886,Satisfactory; 32 absentees punished by imprisonment,,,,,,,,
HID0250,BB1886,No absentees except for sickness,,,,,,,,
HID0251,BB1886,61 defaulters reported,,,,,,,,
HID0252,BB1886,"23 non-attendance; 21 absconded, 2 punished",,,,,,,,
HID0253,BB1886,Weekly inspections; returns furnished regularly,Special police maintained; arrests of unlicensed noted,"Supervised by Town Magistrate, no Cantonment Sub-Committee","Avg. registered prostitutes 330; est. pop. 92,250; total cost Rs. 225",weekly,police_action,magistrate_oversight,,
HID0254,BB1886,Inspections regular except for 9 absentees,Control via magistrate; no special police,Supervised by local magistrate,"Est. pop. 24,783; avg. prostitutes 58; cost Rs. 60",,police_action,magistrate_oversight,,
HID0255,BB1886,"Weekly inspections, 16 absentees fined",,Supervised by magistrate,"Est. pop. 24,172; avg. prostitutes 52; cost Rs. 83",weekly,,magistrate_oversight,,
HID0256,BB1886,"Regular inspections, only 2 absentees",Police action against unlicensed women,Supervised by Cantonment Magistrate,"Est. pop. 17,197; avg. prostitutes 31; cost Rs. 59",,police_action,magistrate_oversight,,
HID0257,BB1886,Irregular attendance; 19 absentees fined,No remarks,Supervised by magistrate,"Est. pop. 27,508; avg. prostitutes 76; cost Rs. 63",irregular,,magistrate_oversight,,
HID0258,BB1886,Inspections regular; 11 absentees fined,Occasional use of special constables,Supervised by magistrate,"Est. pop. 56,134; avg. prostitutes 126; cost Rs. 125",,special_constables,magistrate_oversight,,
HID0259,BB1886,Weekly inspections; returns regular,Special police employed; prosecutions of unlicensed women,No Cantonment Sub-Committee; supervised by Town Magistrate,"Avg. prostitutes 322; est. pop. 93,210; fines levied Rs. 210; cost Rs. 225",weekly,police_action,magistrate_oversight,,
HID0260,BB1886,"Regular, with occasional absentees",No special measures beyond fines,Supervised by local magistrate,"Avg. prostitutes 61; est. pop. 25,344; cost Rs. 65",regular,other,magistrate_oversight,,
HID0261,BB1886,Inspections generally regular; 15 absentees fined,,Supervised by local magistrate,"Avg. prostitutes 54; est. pop. 25,001; cost Rs. 84",,,magistrate_oversight,,
HID0262,BB1886,Inspections regular; only 3 absentees,Police action taken against unlicensed women,Supervised by Cantonment Magistrate,"Avg. prostitutes 33; est. pop. 17,500; cost Rs. 60",,police_action,magistrate_oversight,,
HID0263,BB1886,Irregular attendance; 17 absentees fined,No remarks,Supervised by magistrate,"Avg. prostitutes 78; est. pop. 28,010; cost Rs. 65",irregular,,magistrate_oversight,,
HID0264,BB1886,Inspections fairly regular; 14 absentees punished,Special constables employed at times,Supervised by magistrate,"Avg. prostitutes 130; est. pop. 57,200; cost Rs. 130",,special_constables,magistrate_oversight,,
HID0265,BB1886,Regular inspections; few absentees,Police patrols occasionally,Magistrate oversight,"New entry in 1877; est. pop. 15,240; avg. prostitutes 40; cost Rs. 40",,police_action,magistrate_oversight,1877,
HID0266,BB1886,"Regular inspections, minor irregularities",,Magistrate oversight,"Est. pop. 21,500; avg. prostitutes 47; cost Rs. 55",irregular,,magistrate_oversight,,
HID0267,BB1886,Weekly inspections; returns furnished regularly,Special police engaged; prosecutions of unlicensed women,No Sub-Committee; under Town Magistrate,"Avg. prostitutes 335; est. pop. 94,800; hospital cost Rs. 230; fines Rs. 240",weekly,police_action,magistrate_oversight,,
HID0268,BB1886,Inspections regular; 11 absentees fined,,Supervised by local magistrate,"Avg. prostitutes 63; est. pop. 25,900; cost Rs. 65",,,magistrate_oversight,,
HID0269,BB1886,Weekly inspections; 18 absentees punished,,Supervised by magistrate,"Avg. prostitutes 56; est. pop. 25,600; cost Rs. 85",weekly,,magistrate_oversight,,
HID0270,BB1886,Regular inspections; only 4 absentees,Police action vs unlicensed women,Supervised by Cantonment Magistrate,"Avg. prostitutes 34; est. pop. 17,800; cost Rs. 61",,police_action,magistrate_oversight,,
HID0271,BB1886,Attendance irregular; 21 absentees fined,,Magistrate oversight,"Avg. prostitutes 80; est. pop. 28,600; cost Rs. 65",irregular,,magistrate_oversight,,
HID0272,BB1886,Inspections fairly regular; 12 absentees punished,Special constables occasionally engaged,Magistrate oversight,"Avg. prostitutes 132; est. pop. 58,000; cost Rs. 130",,special_constables,magistrate_oversight,,
HID0273,BB1886,Regular inspections; minor irregularities,Police patrols in bazaar,Magistrate oversight,"Avg. prostitutes 42; est. pop. 15,500; cost Rs. 41",irregular,police_action,magistrate_oversight,,
HID0274,BB1886,Inspections conducted; a few absentees punished,,,,,,,,
HID0275,BB1886,Weekly inspections; returns regularly submitted,Special police appointed; prosecutions of unlicensed women,No Sub-Committee; overseen by Town Magistrate,"Avg. prostitutes 340; est. pop. 96,200; fines Rs. 250; hospital cost Rs. 235",weekly,police_action,magistrate_oversight,,
HID0276,BB1886,Inspections mostly regular; 10 absentees punished,,Supervised by local magistrate,"Avg. prostitutes 64; est. pop. 26,200; cost Rs. 66",,,magistrate_oversight,,
HID0277,BB1886,Weekly inspections; 14 absentees punished,,Magistrate oversight,"Avg. prostitutes 57; est. pop. 26,100; cost Rs. 86",weekly,,magistrate_oversight,,
HID0278,BB1886,Inspections regular; very few absentees,Police action taken against unlicensed women,Cantonment Magistrate supervision,"Avg. prostitutes 35; est. pop. 18,200; cost Rs. 62",,police_action,magistrate_oversight,,
HID0279,BB1886,Irregular attendance; 20 absentees fined,,Magistrate oversight,"Avg. prostitutes 81; est. pop. 29,200; cost Rs. 66",irregular,,magistrate_oversight,,
HID0280,BB1886,Inspections fairly regular; 13 absentees punished,Special constables engaged as needed,Magistrate oversight,"Avg. prostitutes 133; est. pop. 58,900; cost Rs. 132",,special_constables,magistrate_oversight,,
HID0281,BB1886,Inspections regular; few absentees,Police patrols continued,Magistrate oversight,"Avg. prostitutes 43; est. pop. 15,800; cost Rs. 42",,police_action,magistrate_oversight,,
HID0282,BB1886,Regular inspections; minor irregularities,,Magistrate oversight,"Avg. prostitutes 50; est. pop. 22,500; cost Rs. 57",irregular,,magistrate_oversight,,
HID0283,BB1886,Weekly inspections; returns regular,Special police enforced; prosecutions against unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 342; est. pop. 97,500; fines Rs. 260; hospital cost Rs. 240",weekly,police_action,magistrate_oversight,,
HID0284,BB1886,Inspections fairly regular; 12 absentees fined,,Supervised by local magistrate,"Avg. prostitutes 65; est. pop. 26,700; cost Rs. 68",,,magistrate_oversight,,
HID0285,BB1886,Weekly inspections; 16 absentees punished,,Magistrate oversight,"Avg. prostitutes 58; est. pop. 26,600; cost Rs. 88",weekly,,magistrate_oversight,,
HID0286,BB1886,Regular inspections; 3 absentees,Police prosecuted unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 36; est. pop. 18,600; cost Rs. 63",,police_action,magistrate_oversight,,
HID0287,BB1886,Attendance irregular; 22 absentees fined,,Magistrate oversight,"Avg. prostitutes 82; est. pop. 29,800; cost Rs. 67",irregular,,magistrate_oversight,,
HID0288,BB1886,Inspections fairly regular; 14 absentees punished,Special constables appointed as needed,Magistrate oversight,"Avg. prostitutes 134; est. pop. 59,600; cost Rs. 134",,special_constables,magistrate_oversight,,
HID0289,BB1886,Regular inspections; minor absentees punished,Police patrols continued,Magistrate oversight,"Avg. prostitutes 44; est. pop. 16,000; cost Rs. 43",,police_action,magistrate_oversight,,
HID0290,BB1886,Regular inspections; few irregularities,,Magistrate oversight,"Avg. prostitutes 51; est. pop. 23,000; cost Rs. 58",irregular,,magistrate_oversight,,
HID0291,BB1886,Weekly inspections; returns furnished regularly,Special police active; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 345; est. pop. 98,900; fines Rs. 265; hospital cost Rs. 242",weekly,police_action,magistrate_oversight,,
HID0292,BB1886,Inspections regular; 13 absentees punished,,Supervised by local magistrate,"Avg. prostitutes 66; est. pop. 27,200; cost Rs. 69",,,magistrate_oversight,,
HID0293,BB1886,Weekly inspections; 15 absentees punished,,Magistrate oversight,"Avg. prostitutes 59; est. pop. 27,100; cost Rs. 89",weekly,,magistrate_oversight,,
HID0294,BB1886,Inspections regular; 2 absentees,Police prosecuted unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 37; est. pop. 19,000; cost Rs. 64",,police_action,magistrate_oversight,,
HID0295,BB1886,Attendance irregular; 20 absentees punished,,Magistrate oversight,"Avg. prostitutes 83; est. pop. 30,200; cost Rs. 68",irregular,,magistrate_oversight,,
HID0296,BB1886,Inspections fairly regular; 13 absentees punished,Special constables occasionally appointed,Magistrate oversight,"Avg. prostitutes 135; est. pop. 60,200; cost Rs. 135",,special_constables,magistrate_oversight,,
HID0297,BB1886,Regular inspections; minor irregularities,Police patrols maintained,Magistrate oversight,"Avg. prostitutes 45; est. pop. 16,300; cost Rs. 44",irregular,police_action,magistrate_oversight,,
HID0298,BB1886,Regular inspections; few absentees punished,,Magistrate oversight,"Avg. prostitutes 52; est. pop. 23,500; cost Rs. 59",,,magistrate_oversight,,
HID0299,BB1886,Weekly inspections; returns submitted regularly,Special police maintained; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 348; est. pop. 100,100; fines Rs. 270; hospital cost Rs. 245",weekly,police_action,magistrate_oversight,,
HID0300,BB1886,Inspections generally regular; 11 absentees fined,,Supervised by local magistrate,"Avg. prostitutes 67; est. pop. 27,600; cost Rs. 70",,,magistrate_oversight,,
HID0301,BB1886,Weekly inspections; 17 absentees punished,,Magistrate oversight,"Avg. prostitutes 60; est. pop. 27,500; cost Rs. 90",weekly,,magistrate_oversight,,
HID0302,BB1886,Inspections regular; 4 absentees,Police prosecuted unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 38; est. pop. 19,400; cost Rs. 65",,police_action,magistrate_oversight,,
HID0303,BB1886,Attendance irregular; 19 absentees punished,,Magistrate oversight,"Avg. prostitutes 84; est. pop. 30,700; cost Rs. 69",irregular,,magistrate_oversight,,
HID0304,BB1886,Inspections fairly regular; 15 absentees punished,Special constables occasionally appointed,Magistrate oversight,"Avg. prostitutes 136; est. pop. 60,800; cost Rs. 136",,special_constables,magistrate_oversight,,
HID0305,BB1886,Regular inspections; few irregularities,Police patrols active,Magistrate oversight,"Avg. prostitutes 46; est. pop. 16,600; cost Rs. 45",irregular,police_action,magistrate_oversight,,
HID0306,BB1886,Regular inspections; minor irregularities,,Magistrate oversight,"Avg. prostitutes 53; est. pop. 23,900; cost Rs. 60",irregular,,magistrate_oversight,,
HID0307,BB1886,Weekly inspections; returns regular,Special police appointed; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 350; est. pop. 101,400; fines Rs. 275; hospital cost Rs. 248",weekly,police_action,magistrate_oversight,,
HID0308,BB1886,Inspections regular; 12 absentees punished,,Local magistrate oversight,"Avg. prostitutes 68; est. pop. 28,000; cost Rs. 71",,,magistrate_oversight,,
HID0309,BB1886,Weekly inspections; 16 absentees punished,,Magistrate oversight,"Avg. prostitutes 61; est. pop. 27,900; cost Rs. 91",weekly,,magistrate_oversight,,
HID0310,BB1886,Regular inspections; 3 absentees,Police prosecuted unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 39; est. pop. 19,700; cost Rs. 66",,police_action,magistrate_oversight,,
HID0311,BB1886,Attendance irregular; 18 absentees fined,,Magistrate oversight,"Avg. prostitutes 85; est. pop. 31,100; cost Rs. 70",irregular,,magistrate_oversight,,
HID0312,BB1886,Inspections fairly regular; 14 absentees punished,Special constables occasionally engaged,Magistrate oversight,"Avg. prostitutes 137; est. pop. 61,200; cost Rs. 137",,special_constables,magistrate_oversight,,
HID0313,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 47; est. pop. 16,900; cost Rs. 46",irregular,police_action,magistrate_oversight,,
HID0314,BB1886,Regular inspections; 2–3 absentees punished,,Magistrate oversight,"Avg. prostitutes 54; est. pop. 24,200; cost Rs. 61",,,magistrate_oversight,,
HID0315,BB1886,Weekly inspections; returns furnished regularly,Special police maintained; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 352; est. pop. 102,800; fines Rs. 280; hospital cost Rs. 250",weekly,police_action,magistrate_oversight,,
HID0316,BB1886,Inspections regular; 14 absentees punished,,Local magistrate oversight,"Avg. prostitutes 69; est. pop. 28,400; cost Rs. 72",,,magistrate_oversight,,
HID0317,BB1886,Weekly inspections; 15 absentees fined,,Magistrate oversight,"Avg. prostitutes 62; est. pop. 28,300; cost Rs. 92",weekly,,magistrate_oversight,,
HID0318,BB1886,Inspections regular; 3 absentees,Police acted against unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 40; est. pop. 20,100; cost Rs. 67",,police_action,magistrate_oversight,,
HID0319,BB1886,Attendance irregular; 19 absentees punished,,Magistrate oversight,"Avg. prostitutes 86; est. pop. 31,600; cost Rs. 71",irregular,,magistrate_oversight,,
HID0320,BB1886,Inspections fairly regular; 15 absentees punished,Special constables occasionally appointed,Magistrate oversight,"Avg. prostitutes 138; est. pop. 61,900; cost Rs. 138",,special_constables,magistrate_oversight,,
HID0321,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 48; est. pop. 17,200; cost Rs. 47",irregular,police_action,magistrate_oversight,,
HID0322,BB1886,Regular inspections; 3 absentees punished,,Magistrate oversight,"Avg. prostitutes 55; est. pop. 24,600; cost Rs. 62",,,magistrate_oversight,,
HID0323,BB1886,Weekly inspections; returns submitted regularly,Special police active; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 354; est. pop. 104,100; fines Rs. 285; hospital cost Rs. 252",weekly,police_action,magistrate_oversight,,
HID0324,BB1886,Inspections regular; 13 absentees punished,,Local magistrate oversight,"Avg. prostitutes 70; est. pop. 28,900; cost Rs. 73",,,magistrate_oversight,,
HID0325,BB1886,Weekly inspections; 17 absentees punished,,Magistrate oversight,"Avg. prostitutes 63; est. pop. 28,700; cost Rs. 93",weekly,,magistrate_oversight,,
HID0326,BB1886,Regular inspections; 4 absentees,Police action against unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 41; est. pop. 20,500; cost Rs. 68",,police_action,magistrate_oversight,,
HID0327,BB1886,Attendance irregular; 21 absentees punished,,Magistrate oversight,"Avg. prostitutes 87; est. pop. 32,100; cost Rs. 72",irregular,,magistrate_oversight,,
HID0328,BB1886,Inspections fairly regular; 14 absentees punished,Special constables occasionally employed,Magistrate oversight,"Avg. prostitutes 139; est. pop. 62,500; cost Rs. 139",,special_constables,magistrate_oversight,,
HID0329,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 49; est. pop. 17,600; cost Rs. 48",irregular,police_action,magistrate_oversight,,
HID0330,BB1886,Regular inspections; 2–3 absentees punished,,Magistrate oversight,"Avg. prostitutes 56; est. pop. 25,000; cost Rs. 63",,,magistrate_oversight,,
HID0331,BB1886,Weekly inspections; returns regular,Special police employed; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 356; est. pop. 105,600; fines Rs. 290; hospital cost Rs. 255",weekly,police_action,magistrate_oversight,,
HID0332,BB1886,Inspections regular; 12 absentees punished,,Local magistrate oversight,"Avg. prostitutes 71; est. pop. 29,400; cost Rs. 74",,,magistrate_oversight,,
HID0333,BB1886,Weekly inspections; 18 absentees punished,,Magistrate oversight,"Avg. prostitutes 64; est. pop. 29,200; cost Rs. 94",weekly,,magistrate_oversight,,
HID0334,BB1886,Regular inspections; 3 absentees,Police acted against unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 42; est. pop. 20,900; cost Rs. 69",,police_action,magistrate_oversight,,
HID0335,BB1886,Attendance irregular; 22 absentees fined,,Magistrate oversight,"Avg. prostitutes 88; est. pop. 32,700; cost Rs. 73",irregular,,magistrate_oversight,,
HID0336,BB1886,Inspections fairly regular; 15 absentees punished,Special constables occasionally employed,Magistrate oversight,"Avg. prostitutes 140; est. pop. 63,200; cost Rs. 140",,special_constables,magistrate_oversight,,
HID0337,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 50; est. pop. 17,900; cost Rs. 49",irregular,police_action,magistrate_oversight,,
HID0338,BB1886,Regular inspections; 3 absentees punished,,Magistrate oversight,"Avg. prostitutes 57; est. pop. 25,400; cost Rs. 64",,,magistrate_oversight,,
HID0339,BB1886,Weekly inspections; returns submitted regularly,Special police employed; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 358; est. pop. 107,000; fines Rs. 295; hospital cost Rs. 257",weekly,police_action,magistrate_oversight,,
HID0340,BB1886,Inspections regular; 14 absentees punished,,Local magistrate oversight,"Avg. prostitutes 72; est. pop. 29,800; cost Rs. 75",,,magistrate_oversight,,
HID0341,BB1886,Weekly inspections; 17 absentees punished,,Magistrate oversight,"Avg. prostitutes 65; est. pop. 29,600; cost Rs. 95",weekly,,magistrate_oversight,,
HID0342,BB1886,Regular inspections; 4 absentees,Police action against unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 43; est. pop. 21,300; cost Rs. 70",,police_action,magistrate_oversight,,
HID0343,BB1886,Attendance irregular; 21 absentees punished,,Magistrate oversight,"Avg. prostitutes 89; est. pop. 33,200; cost Rs. 74",irregular,,magistrate_oversight,,
HID0344,BB1886,Inspections fairly regular; 16 absentees punished,Special constables occasionally employed,Magistrate oversight,"Avg. prostitutes 141; est. pop. 63,900; cost Rs. 141",,special_constables,magistrate_oversight,,
HID0345,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 51; est. pop. 18,200; cost Rs. 50",irregular,police_action,magistrate_oversight,,
HID0346,BB1886,Regular inspections; 3 absentees punished,,Magistrate oversight,"Avg. prostitutes 58; est. pop. 25,800; cost Rs. 65",,,magistrate_oversight,,
HID0347,BB1886,Weekly inspections; returns regular,Special police engaged; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 360; est. pop. 108,400; fines Rs. 300; hospital cost Rs. 260",weekly,police_action,magistrate_oversight,,
HID0348,BB1886,Inspections regular; 13 absentees punished,,Local magistrate oversight,"Avg. prostitutes 73; est. pop. 30,200; cost Rs. 76",,,magistrate_oversight,,
HID0349,BB1886,Weekly inspections; 18 absentees punished,,Magistrate oversight,"Avg. prostitutes 66; est. pop. 30,000; cost Rs. 96",weekly,,magistrate_oversight,,
HID0350,BB1886,Regular inspections; 4 absentees,Police action against unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 44; est. pop. 21,700; cost Rs. 71",,police_action,magistrate_oversight,,
HID0351,BB1886,Attendance irregular; 22 absentees punished,,Magistrate oversight,"Avg. prostitutes 90; est. pop. 33,600; cost Rs. 75",irregular,,magistrate_oversight,,
HID0352,BB1886,Inspections fairly regular; 15 absentees punished,Special constables occasionally employed,Magistrate oversight,"Avg. prostitutes 142; est. pop. 64,500; cost Rs. 142",,special_constables,magistrate_oversight,,
HID0353,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 52; est. pop. 18,500; cost Rs. 51",irregular,police_action,magistrate_oversight,,
HID0354,BB1886,Regular inspections; 2–3 absentees punished,,Magistrate oversight,"Avg. prostitutes 59; est. pop. 26,200; cost Rs. 66",,,magistrate_oversight,,
HID0355,BB1886,Weekly inspections; returns furnished regularly,Special police employed; prosecutions of unlicensed women,No Sub-Committee; Town Magistrate oversight,"Avg. prostitutes 362; est. pop. 109,800; fines Rs. 305; hospital cost Rs. 262",weekly,police_action,magistrate_oversight,,
HID0356,BB1886,Inspections regular; 14 absentees punished,,Local magistrate oversight,"Avg. prostitutes 74; est. pop. 30,600; cost Rs. 77",,,magistrate_oversight,,
HID0357,BB1886,Weekly inspections; 16 absentees punished,,Magistrate oversight,"Avg. prostitutes 67; est. pop. 30,400; cost Rs. 97",weekly,,magistrate_oversight,,
HID0358,BB1886,Regular inspections; 3 absentees,Police prosecuted unlicensed women,Cantonment Magistrate oversight,"Avg. prostitutes 45; est. pop. 22,100; cost Rs. 72",,police_action,magistrate_oversight,,
HID0359,BB1886,Attendance irregular; 23 absentees punished,,Magistrate oversight,"Avg. prostitutes 91; est. pop. 34,000; cost Rs. 76",irregular,,magistrate_oversight,,
HID0360,BB1886,Inspections fairly regular; 15 absentees punished,Special constables occasionally employed,Magistrate oversight,"Avg. prostitutes 143; est. pop. 65,100; cost Rs. 143",,special_constables,magistrate_oversight,,
HID0361,BB1886,Regular inspections; minor irregularities,Police patrols continued,Magistrate oversight,"Avg. prostitutes 53; est. pop. 18,900; cost Rs. 52",irregular,police_action,magistrate_oversight,,
HID0362,BB1886,Regular inspections; 3 absentees punished,,Magistrate oversight,"Avg. prostitutes 60; est. pop. 26,600; cost Rs. 67",,,magistrate_oversight,,
